Date,Close,High,Low,Open,Volume
2021-07-26,2777.706787109375,2800.900993440184,2771.8865498779865,2779.8350559071373,1259611
2021-07-27,2765.02392578125,2788.5222632828436,2746.0862555326894,2779.835278038972,1121367
2021-07-28,2777.923828125,2783.700587738903,2721.1108246514436,2769.410541258795,1660654
2021-07-29,2776.1865234375,2801.943347409682,2771.4086820063676,2780.052189087591,1731997
2021-07-30,2751.5595703125,2800.250173367633,2747.129334329476,2796.341029337804,2999943
2021-08-02,2796.68798828125,2801.465830240041,2751.1682697258793,2762.4613507193862,2608669
2021-08-03,2853.58740234375,2858.017849193048,2796.296783011644,2805.027244694332,3804735
2021-08-04,2844.075439453125,2871.22226784343,2832.9995334698806,2866.7050780162026,2929598
2021-08-05,2852.76220703125,2879.73533608023,2834.128667861765,2844.9873983899706,2534521
2021-08-06,2875.218505859375,2887.5539828638334,2836.300768366551,2842.859484842023,2292362
2021-08-09,2886.4248046875,2898.8472371226603,2875.392374850466,2887.4672005937846,1510489
2021-08-10,2896.15380859375,2910.0529844223115,2880.2567959075063,2880.2567959075063,2040777
2021-08-11,2905.10107421875,2918.8265510124475,2890.2464592009433,2910.1395672296726,1929707
2021-08-12,2911.660888671875,2925.77724264843,2889.2918969859493,2889.2918969859493,1310205
2021-08-13,3008.64990234375,3023.070380371302,2916.654828188691,2919.478097940475,4363584
2021-08-16,3016.946044921875,3035.536317803578,2985.282030878575,3005.6964431368747,2083489
2021-08-17,3086.52978515625,3093.2621997032534,3008.3034291964027,3024.895658268676,4336019
2021-08-18,3093.04443359375,3122.9710539890493,3072.2391472921595,3104.5981658626997,2631309
2021-08-20,3092.13232421875,3105.5971510274003,3040.4447632436086,3045.656954266312,2836148
2021-08-23,3159.8037109375,3190.729461117312,3094.2169768470135,3109.940503893269,3744176
2021-08-24,3138.781005859375,3185.821151311202,3122.4494335776335,3176.8300380677483,2511141
2021-08-25,3178.56787109375,3212.229938599867,3133.4390255895655,3136.001643795692,2123263
2021-08-26,3189.731201171875,3203.413204816448,3168.9256989779797,3179.43703740544,1902533
2021-08-27,3231.6884765625,3239.8108919607075,3171.7050178376517,3184.6485399994513,3944728
2021-08-30,3215.31396484375,3249.2366854199036,3203.4128372022465,3227.2150924852535,2033114
2021-08-31,3289.283447265625,3304.616103294764,3217.181470574093,3222.3501843175904,3207480
2021-09-01,3227.171875,3315.5619590111364,3220.265763432762,3297.5799401108075,2643336
2021-09-02,3332.978515625,3352.4372745391374,3233.295376335766,3243.719756915032,3403717
2021-09-03,3337.5830078125,3350.4830528749976,3305.006815102271,3322.7716564433317,1746812
2021-09-06,3346.2265625,3368.4653285384056,3313.216020086968,3344.228513568609,1723693
2021-09-07,3314.8662109375,3361.819402883082,3308.2207528685676,3356.65068970896,1585039
2021-09-08,3278.5986328125,3314.085054335627,3262.8318385542893,3309.7415614728015,4147175
2021-09-09,3293.5830078125,3308.611532453073,3270.6494550333446,3292.106262958881,1441148
2021-09-13,3340.450439453125,3346.5745952694633,3272.387815374621,3272.387815374621,1691473
2021-09-14,3375.67578125,3384.8840711793177,3322.7721217145872,3344.446109215776,1991188
2021-09-15,3435.3115234375,3457.419856737662,3358.3882327004526,3372.374362683401,2461369
2021-09-16,3390.790283203125,3458.939625765508,3381.0609041825846,3413.984486534425,2946666
2021-09-17,3325.247802734375,3427.0157522153695,3305.3979561925175,3405.2982886398604,6477148
2021-09-20,3321.46875,3362.7319291879166,3307.873703164557,3308.87262161632,2002008
2021-09-21,3355.73876953125,3363.2096613345666,3319.8614796911293,3351.438754448293,1568129
2021-09-22,3355.043212890625,3385.187214991251,3346.6168813997574,3355.3473421438002,1744067
2021-09-23,3361.2119140625,3369.6817250496706,3331.458988287055,3361.86343798459,2003869
2021-09-24,3362.9921875,3426.49391383993,3348.8323610402954,3379.2368053039554,2320754
2021-09-27,3333.15234375,3391.3986149404177,3303.573120278085,3387.923821277569,1673362
2021-09-28,3282.94189453125,3344.489268897925,3258.7052908969717,3344.489268897925,2253075
2021-09-29,3294.017822265625,3306.2665561909757,3233.4261006959136,3266.13272711656,2489161
2021-09-30,3279.81494140625,3305.3980719774313,3257.706605128869,3305.3980719774313,2252412
2021-10-01,3240.4189453125,3309.7411246713523,3235.9017557482384,3285.200393235141,1578374
2021-10-04,3277.85986328125,3286.8507648768555,3220.655986222067,3235.727988977081,1356860
2021-10-05,3329.982421875,3335.8026601411348,3250.3228018088666,3261.0945797317236,1877966
2021-10-06,3310.522705078125,3350.9606587155918,3296.7104851126683,3332.3271201296957,1678154
2021-10-07,3381.75634765625,3387.055493405651,3318.4717883990315,3327.115296164053,1647233
2021-10-08,3418.893310546875,3466.0202061548184,3387.924292552639,3409.641755966438,2934339
2021-10-11,3201.674560546875,3264.133883897278,3179.4357990855724,3261.962138132875,11845402
2021-10-12,3173.2255859375,3220.2655276267183,3153.8970431833336,3219.396829075969,5752877
2021-10-13,3175.266845703125,3192.857991053429,3166.4061630547076,3170.749655733795,3545655
2021-10-14,3143.28076171875,3194.2406932053873,3140.4520744563747,3155.0742541878826,6442299
2021-10-18,3174.35302734375,3179.1835977264323,3134.577371767137,3136.31810253628,3590107
2021-10-19,3163.0380859375,3211.7351962506837,3155.2483587152783,3193.3704027509225,3135441
2021-10-20,3141.018310546875,3159.426454063598,3114.4286046403977,3143.7598766054316,2933693
2021-10-21,3074.5654296875,3139.7992665819975,3056.070167017759,3136.883670314862,4871211
2021-10-22,3045.27734375,3099.892759668595,3033.222700817582,3098.5000903617192,2691670
